index,date,value,group
1,1/1/2009,313000,DC 
2,2/1/2009,361000,DC 
3,3/1/2009,552000,DC 
4,4/1/2009,620000,DC 
5,5/1/2009,730000,DC 
6,6/1/2009,719000,DC 
7,7/1/2009,716000,DC 
8,8/1/2009,680000,DC 
9,9/1/2009,607000,DC 
10,10/1/2009,351000,DC 
11,11/1/2009,643000,DC 
12,12/1/2009,518000,DC 
13,1/1/2010,710000,DC 
14,2/1/2010,323000,DC 
15,3/1/2010,421000,DC 
16,4/1/2010,525000,DC 
17,5/1/2010,649000,DC 
18,6/1/2010,554000,DC 
19,7/1/2010,735000,DC 
20,8/1/2010,708000,DC 
21,9/1/2010,419000,DC 
22,10/1/2010,729000,DC 
23,11/1/2010,775000,DC 
24,12/1/2010,726000,DC 
25,1/1/2011,602000,DC 
26,2/1/2011,383000,DC 
27,3/1/2011,465000,DC 
28,4/1/2011,475000,DC 
29,5/1/2011,654000,DC 
30,6/1/2011,803000,DC 
31,7/1/2011,684000,DC 
32,8/1/2011,770000,DC 
33,9/1/2011,585000,DC 
34,10/1/2011,537000,DC 
35,11/1/2011,490000,DC 
36,12/1/2011,570000,DC 
37,1/1/2012,475000,DC 
38,2/1/2012,417500,DC 
39,3/1/2012,540000,DC 
40,4/1/2012,510000,DC 
41,5/1/2012,722500,DC 
42,6/1/2012,702500,DC 
43,7/1/2012,769500,DC 
44,8/1/2012,741500,DC 
45,9/1/2012,670000,DC 
46,10/1/2012,682500,DC 
47,11/1/2012,694500,DC 
48,12/1/2012,776000,DC 
49,1/1/2013,563500,DC 
50,2/1/2013,503000,DC 
51,3/1/2013,580000,DC 
52,4/1/2013,785000,DC 
53,5/1/2013,782500,DC 
54,6/1/2013,868000,DC 
55,7/1/2013,865000,DC 
56,8/1/2013,777000,DC 
57,9/1/2013,670000,DC 
58,10/1/2013,695000,DC 
59,11/1/2013,800000,DC 
60,12/1/2013,747000,DC 
61,1/1/2014,518000,DC 
62,2/1/2014,614500,DC 
63,3/1/2014,684000,DC 
64,4/1/2014,581000,DC 
65,5/1/2014,744000,DC 
66,6/1/2014,895000,DC 
67,7/1/2014,884500,DC 
68,8/1/2014,703500,DC 
69,9/1/2014,753000,DC 
70,10/1/2014,661000,DC 
71,11/1/2014,632500,DC 
72,12/1/2014,733500,DC 
73,1/1/2015,600000,DC 
74,2/1/2015,585000,DC 
75,3/1/2015,581500,DC 
76,4/1/2015,836500,DC 
77,5/1/2015,713500,DC 
78,6/1/2015,894500,DC 
79,7/1/2015,829000,DC 
80,8/1/2015,810000,DC 
81,9/1/2015,628500,DC 
82,10/1/2015,661500,DC 
83,11/1/2015,822000,DC 
84,12/1/2015,804500,DC 
85,1/1/2016,548000,DC 
86,2/1/2016,707500,DC 
87,3/1/2016,571500,DC 
88,4/1/2016,771000,DC 
89,5/1/2016,771000,DC 
90,6/1/2016,751000,DC 
91,7/1/2016,886000,DC 
92,8/1/2016,924000,DC 
93,9/1/2016,724000,DC 
94,10/1/2016,700000,DC 
95,11/1/2016,757500,DC 
96,12/1/2016,659000,DC 
97,1/1/2017,778000,DC 
98,2/1/2017,626000,DC 
99,3/1/2017,617500,DC 
100,4/1/2017,837500,DC 
101,5/1/2017,883000,DC 
102,6/1/2017,812500,DC 
103,7/1/2017,777000,DC 
104,8/1/2017,804500,DC 
105,9/1/2017,720000,DC 
106,10/1/2017,795000,DC 
107,11/1/2017,762500,DC 
108,12/1/2017,840000,DC 
109,1/1/2018,663500,DC 
110,2/1/2018,783000,DC 
